Timestamp [ms],CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s]
1376314846,1,2926.0,12.246169801320528,3.9365239384176314,704512.0,124296.39848182679,0.0,0.0,0.0,0.0
1376315146,1,2926.0,90.76059041538223,1.420598656444123,704512.0,73462.2744698852,0.0,0.0,0.0,0.0
1376315446,1,2926.0,32.2797539226126,3.084396996739432,704512.0,181557.91375391852,0.0,0.0,0.0,0.0
1376315746,1,2926.0,66.09466230163198,4.293902025354571,704512.0,131439.09972461293,0.0,0.0,0.0,0.0
1376316046,1,2926.0,79.92631231039704,2.0096870283277033,704512.0,132547.2167697918,0.0,0.0,0.0,0.0
1376316346,1,2926.0,74.62124457374263,1.3687389123178395,704512.0,32176.821874391615,0.0,0.0,0.0,0.0
1376316646,1,2926.0,4.111493990456461,4.194538499365591,704512.0,189236.56755698242,0.0,0.0,0.0,0.0
1376316946,1,2926.0,29.515609713701874,2.4921895709486526,704512.0,70151.57259137175,0.0,0.0,0.0,0.0
1376317246,1,2926.0,68.90081154371032,0.7089266777199338,704512.0,159053.85623795417,0.0,0.0,0.0,0.0
1376317546,1,2926.0,68.7113256932645,4.706304311796959,704512.0,148923.22283208402,0.0,0.0,0.0,0.0
1376317846,1,2926.0,36.188393161100194,0.9031894394110912,704512.0,50839.23030993038,0.0,0.0,0.0,0.0
1376318146,1,2926.0,42.22254751953667,1.5876899723001037,704512.0,163991.6795665338,0.0,0.0,0.0,0.0
1376318446,1,2926.0,62.85949550515464,2.6664197132730836,704512.0,166415.66466291773,0.0,0.0,0.0,0.0
1376318746,1,2926.0,32.53585436721088,4.917335496852374,704512.0,146196.7410988218,0.0,0.0,0.0,0.0
1376319046,1,2926.0,38.269052104355275,1.153606700302452,704512.0,106683.16247147003,0.0,0.0,0.0,0.0
1376319346,1,2926.0,92.6421012697575,3.945251847885993,704512.0,155690.67675004707,0.0,0.0,0.0,0.0
1376319646,1,2926.0,78.71409973178562,4.006566366658635,704512.0,143371.1106149226,0.0,0.0,0.0,0.0
1376319946,1,2926.0,68.04319551732988,4.48180187996073,704512.0,196906.2359072333,0.0,0.0,0.0,0.0
1376320246,1,2926.0,93.9246883061326,3.555391778877116,704512.0,43722.45941458657,0.0,0.0,0.0,0.0
1376320546,1,2926.0,0.46000318515256877,4.355928269152126,704512.0,99090.0051935577,0.0,0.0,0.0,0.0
1376320846,1,2926.0,2.179645454128032,4.351003319926327,704512.0,81026.03676557822,0.0,0.0,0.0,0.0
1376321146,1,2926.0,44.43048093177075,2.3590630379189816,704512.0,15518.429985560766,0.0,0.0,0.0,0.0
1376321446,1,2926.0,59.003553100249604,2.152854245613105,704512.0,180603.05180469033,0.0,0.0,0.0,0.0
1376321746,1,2926.0,16.3225355448397,3.485352084752444,704512.0,178240.71453911788,0.0,0.0,0.0,0.0
1376322046,1,2926.0,64.95496257931768,3.258311995888174,704512.0,198801.3994250527,0.0,0.0,0.0,0.0
1376322346,1,2926.0,96.07476141446281,3.9948675545547117,704512.0,169276.48766776433,0.0,0.0,0.0,0.0
1376322646,1,2926.0,54.994034892421425,2.6042969245032968,704512.0,62951.9319219354,0.0,0.0,0.0,0.0
1376322946,1,2926.0,62.55297653132382,0.8692219684753522,704512.0,8768.484953794898,0.0,0.0,0.0,0.0
1376323246,1,2926.0,76.98588476611702,1.6289141022067448,704512.0,156798.52658269287,0.0,0.0,0.0,0.0
1376323546,1,2926.0,23.269139178014285,2.0679764413966617,704512.0,144112.338230904,0.0,0.0,0.0,0.0
1376323846,1,2926.0,98.02289450293583,3.2587434828569313,704512.0,25378.22334406936,0.0,0.0,0.0,0.0
1376324146,1,2926.0,94.06468980050153,2.28654363774361,704512.0,57064.808387274505,0.0,0.0,0.0,0.0
1376324446,1,2926.0,78.9429271754788,2.3334633036002224,704512.0,141655.31715826725,0.0,0.0,0.0,0.0
1376324746,1,2926.0,38.24759683739389,1.3333968581365163,704512.0,53869.86563637324,0.0,0.0,0.0,0.0
1376325046,1,2926.0,55.164536534130235,4.729239585167374,704512.0,68351.51976547267,0.0,0.0,0.0,0.0
